City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Beroroha,MG,2021-10-18 05:36:26,-21.6667,45.1667,87.19,41,0,5.1
90,Kaitangata,NZ,2021-10-18 05:36:26,-46.2817,169.8464,59.94,51,53,3.36
91,Buchanan,LR,2021-10-18 05:36:26,5.8808,-10.0467,76.64,88,40,4.12
92,Hofn,IS,2021-10-18 05:36:27,64.2539,-15.2082,41.27,91,100,15.61
93,Bredasdorp,ZA,2021-10-18 05:36:28,-34.5322,20.0403,55.58,56,7,1.19
94,Autazes,BR,2021-10-18 05:36:28,-3.5797,-59.1306,74.79,91,100,2.77
95,Waipawa,NZ,2021-10-18 05:36:28,-41.4122,175.5153,57.83,77,5,17.6
96,Taoudenni,ML,2021-10-18 05:36:29,22.6783,-3.9836,77.49,9,48,8.7
97,Butia,BR,2021-10-18 05:36:29,-30.1197,-51.9622,51.91,98,2,3.98
98,Mataura,NZ,2021-10-18 05:36:30,-46.1927,168.8643,55.08,59,53,4.36
99,Lebu,CL,2021-10-18 05:32:05,-37.6167,-73.65,48.99,90,2,17.34
100,Renfrew,GB,2021-10-18 05:36:30,55.872,-4.3925,59.04,96,90,3.44
101,West Helena,US,2021-10-18 05:36:31,34.5507,-90.6418,49.68,54,31,4.52
102,Chatrapur,IN,2021-10-18 05:36:31,19.35,84.9833,81.52,84,100,6.76
103,Uddevalla,SE,2021-10-18 05:36:32,58.3478,11.9424,28.76,68,26,1.59
104,Beloha,MG,2021-10-18 05:36:32,-25.1667,45.05,85.77,42,0,2.21
105,Dobsina,SK,2021-10-18 05:36:33,48.8207,20.3699,44.08,79,76,2.59
106,San Gabriel,US,2021-10-18 05:36:33,34.0961,-118.1058,62.04,79,75,0.0
107,Nikolskoye,RU,2021-10-18 05:36:34,59.7035,30.7861,38.01,96,61,9.28
108,Chegdomyn,RU,2021-10-18 05:36:34,51.1167,133.0167,28.58,33,70,3.42
109,Edgewater,US,2021-10-18 05:36:35,28.9889,-80.9023,71.01,60,0,12.21
110,Avarua,CK,2021-10-18 05:36:35,-21.2078,-159.775,75.25,83,90,5.75
111,Jamestown,US,2021-10-18 05:36:36,42.097,-79.2353,53.19,92,90,3.0
112,Constitucion,CL,2021-10-18 05:36:36,-35.3333,-72.4167,51.39,75,0,6.8
113,Bandarbeyla,SO,2021-10-18 05:36:36,9.4942,50.8122,84.38,63,25,14.07
114,Krasnoselkup,RU,2021-10-18 05:36:37,65.7,82.4667,38.66,93,100,19.42
115,Strezhevoy,RU,2021-10-18 05:36:37,60.7333,77.5889,42.78,68,85,11.18
116,Upernavik,GL,2021-10-18 05:36:38,72.7868,-56.1549,22.35,50,65,6.31
117,Longyearbyen,SJ,2021-10-18 05:36:38,78.2186,15.6401,17.44,73,20,1.14
118,Abeche,TD,2021-10-18 05:36:38,13.8292,20.8324,79.57,33,16,10.18
119,Fort-Shevchenko,KZ,2021-10-18 05:36:39,44.5086,50.263,57.7,70,99,14.61
120,Guaratinga,BR,2021-10-18 05:36:39,-16.5667,-39.5667,75.87,98,32,1.3
121,Hilo,US,2021-10-18 05:36:40,19.7297,-155.09,75.27,88,90,3.44
122,Las Vegas,US,2021-10-18 05:35:50,36.175,-115.1372,72.28,18,1,12.66
123,Jibuti,DJ,2021-10-18 05:36:41,11.5,42.5,85.42,32,59,3.44
124,Tema,GH,2021-10-18 05:36:41,5.667,-0.0166,75.61,100,0,9.22
125,Rochegda,RU,2021-10-18 05:36:42,62.8,43.25,36.99,88,100,10.33
126,Lerwick,GB,2021-10-18 05:36:43,60.1545,-1.1494,50.0,75,100,23.91
127,Xuchang,CN,2021-10-18 05:36:43,34.0167,113.8167,67.08,41,1,10.87
128,Port Alfred,ZA,2021-10-18 05:36:43,-33.5906,26.891,58.78,58,48,10.56
129,Venice,US,2021-10-18 05:36:44,27.0998,-82.4543,71.98,78,16,5.99
130,Tasiilaq,GL,2021-10-18 05:36:44,65.6145,-37.6368,30.36,47,85,14.36
131,Provideniya,RU,2021-10-18 05:36:45,64.3833,-173.3,26.71,59,90,6.71
132,Lorengau,PG,2021-10-18 05:36:45,-2.0226,147.2712,85.41,66,16,11.45
133,Mar Del Plata,AR,2021-10-18 05:34:08,-38.0023,-57.5575,52.12,11,14,8.99
134,Torbay,CA,2021-10-18 05:36:46,47.6666,-52.7314,43.57,97,90,4.61
135,Knysna,ZA,2021-10-18 05:36:47,-34.0363,23.0471,52.18,61,20,3.18
136,Dicabisagan,PH,2021-10-18 05:36:48,17.0818,122.4157,83.28,72,99,6.04
137,Pevek,RU,2021-10-18 05:36:48,69.7008,170.3133,4.12,99,94,4.21
138,Kauhajoki,FI,2021-10-18 05:36:49,62.4333,22.1833,35.76,87,91,8.66
139,Hasaki,JP,2021-10-18 05:36:49,35.7333,140.8333,63.28,54,98,15.35
140,Te Anau,NZ,2021-10-18 05:36:50,-45.4167,167.7167,55.56,58,6,6.55
141,Ajdabiya,LY,2021-10-18 05:36:50,30.7554,20.2263,65.97,52,8,9.62
142,Itaueira,BR,2021-10-18 05:36:51,-7.6033,-43.0256,77.77,38,90,2.46
143,Presidencia Roque Saenz Pena,AR,2021-10-18 05:36:51,-26.7852,-60.4388,58.21,77,7,5.68
144,Vardo,NO,2021-10-18 05:36:51,70.3705,31.1107,34.0,75,98,33.38
145,Borba,BR,2021-10-18 05:36:52,-4.3878,-59.5939,71.94,97,100,2.89
146,Arlit,NE,2021-10-18 05:36:52,18.7369,7.3853,83.41,29,89,6.04
147,New Norfolk,AU,2021-10-18 05:36:53,-42.7826,147.0587,55.65,55,98,5.99
148,Kodiak,US,2021-10-18 05:36:53,57.79,-152.4072,41.59,96,100,32.7
149,Langsa,ID,2021-10-18 05:36:53,4.4683,97.9683,81.72,75,100,1.43
150,Seoul,KR,2021-10-18 05:32:38,37.5683,126.9778,60.4,43,0,8.05
151,Thompson,CA,2021-10-18 05:34:13,55.7435,-97.8558,42.96,75,20,2.3
152,Kuytun,RU,2021-10-18 05:36:54,54.3419,101.5036,40.21,60,7,7.94
153,Zhigansk,RU,2021-10-18 05:36:55,66.7697,123.3711,19.6,93,100,21.88
154,Coihaique,CL,2021-10-18 05:36:55,-45.5752,-72.0662,48.15,66,90,4.61
155,Khakurinokhabl,RU,2021-10-18 05:36:55,45.0201,40.2291,56.8,55,23,6.55
156,Sioux Lookout,CA,2021-10-18 05:36:02,50.1001,-91.917,48.58,93,1,4.61
157,Batagay-Alyta,RU,2021-10-18 05:36:56,67.8006,130.4114,2.23,84,59,2.51
158,Manicore,BR,2021-10-18 05:36:56,-5.8092,-61.3003,71.19,98,100,1.52
159,Koubia,GN,2021-10-18 05:36:57,11.5833,-11.9,69.6,84,97,0.4
160,Port Macquarie,AU,2021-10-18 05:36:58,-31.4333,152.9167,75.16,68,96,15.08
161,Vao,NC,2021-10-18 05:36:58,-22.6667,167.4833,73.78,87,100,12.86
162,Flinders,AU,2021-10-18 05:36:58,-34.5833,150.8552,82.8,53,1,4.0
163,Codrington,AU,2021-10-18 05:36:59,-38.2667,141.9667,56.17,70,68,17.22
164,Grand Gaube,MU,2021-10-18 05:36:59,-20.0064,57.6608,79.2,74,75,10.0
165,Vestmannaeyjar,IS,2021-10-18 05:37:00,63.4427,-20.2734,46.8,88,100,34.25
166,Charters Towers,AU,2021-10-18 05:37:00,-20.1,146.2667,90.75,28,49,12.88
167,Oktyabrskiy,RU,2021-10-18 05:37:01,54.4815,53.471,47.21,86,100,9.06
168,Saint-Denis,FR,2021-10-18 05:37:01,48.9167,2.3333,47.1,90,0,5.75
169,Jalu,LY,2021-10-18 05:37:02,29.0331,21.5482,68.2,38,0,8.19
170,Bambous Virieux,MU,2021-10-18 05:37:02,-20.3428,57.7575,79.05,65,40,18.41
171,Uglovskoye,RU,2021-10-18 05:37:03,51.3557,80.1942,48.51,41,36,3.42
172,Norman Wells,CA,2021-10-18 05:37:04,65.282,-126.8329,28.44,93,90,3.44
173,Katsuura,JP,2021-10-18 05:37:04,35.1333,140.3,67.19,61,93,17.96
174,Kruisfontein,ZA,2021-10-18 05:37:04,-34.0033,24.7314,51.89,66,58,7.85
175,Panalingaan,PH,2021-10-18 05:37:05,8.7842,117.4231,84.87,74,56,2.95
176,Adrar,MR,2021-10-18 05:37:05,20.5022,-10.0711,81.0,14,100,10.42
177,Sao Felix Do Xingu,BR,2021-10-18 05:37:06,-6.6447,-51.995,71.04,87,98,1.79
178,Tiksi,RU,2021-10-18 05:37:06,71.6872,128.8694,14.04,84,99,12.21
179,Morro Bay,US,2021-10-18 05:35:05,35.3658,-120.8499,61.92,85,36,3.0
180,Vila Velha,BR,2021-10-18 05:37:07,-20.3297,-40.2925,71.55,88,90,1.14
181,Waynesboro,US,2021-10-18 05:37:08,38.0685,-78.8895,48.78,78,1,6.91
182,Bull Savanna,JM,2021-10-18 05:37:08,17.8868,-77.5902,76.14,85,81,4.32
183,Mackay,AU,2021-10-18 05:37:09,-21.15,149.2,85.68,61,40,21.85
184,Qaanaaq,GL,2021-10-18 05:37:09,77.484,-69.3632,24.73,66,100,12.12
185,Necochea,AR,2021-10-18 05:37:10,-38.5473,-58.7368,43.47,82,0,1.79
186,Saskylakh,RU,2021-10-18 05:37:10,71.9167,114.0833,20.32,96,100,6.53
187,Fairbanks,US,2021-10-18 05:37:11,64.8378,-147.7164,30.31,77,1,0.0
188,Nouakchott,MR,2021-10-18 05:37:11,18.0858,-15.9785,82.85,32,19,4.92
189,Timra,SE,2021-10-18 05:37:12,62.487,17.3257,37.11,77,17,6.91
190,Puchezh,RU,2021-10-18 05:37:12,56.9788,43.1676,43.0,85,69,10.47
