City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
124,Drayton Valley,CA,53.2168,-114.9854,48.9,56,95,15.12,overcast clouds
125,Severo-Kurilsk,RU,50.6789,156.125,38.3,96,97,3.76,light rain
126,Talnakh,RU,69.4865,88.3972,30.88,97,100,9.78,light snow
127,Saskylakh,RU,71.9167,114.0833,21.06,97,100,0.98,overcast clouds
128,Cairo,EG,30.0626,31.2497,72.36,45,0,8.05,clear sky
129,Post Falls,US,47.718,-116.9516,69.85,37,1,4.0,clear sky
130,Port Alfred,ZA,-33.5906,26.891,58.93,74,3,15.99,clear sky
131,Hobart,AU,-42.8794,147.3294,57.25,65,40,1.01,scattered clouds
132,La Asuncion,VE,11.0333,-63.8628,92.93,59,82,13.8,broken clouds
133,Lorengau,PG,-2.0226,147.2712,85.93,64,73,8.05,broken clouds
134,Kangaba,ML,11.9333,-8.4167,76.35,77,97,7.85,light rain
135,Khatanga,RU,71.9667,102.5,23.94,94,100,15.64,light snow
136,Butaritari,KI,3.0707,172.7902,82.67,64,1,7.47,clear sky
137,Porosozero,RU,62.7191,32.727,27.66,81,75,2.98,broken clouds
138,Mareeba,AU,-17.0,145.4333,86.32,31,51,4.83,broken clouds
139,Aberdeen,GB,57.1437,-2.0981,59.2,89,40,3.44,scattered clouds
140,Lumphat,KH,13.4878,106.9816,75.22,95,84,2.26,broken clouds
141,Geraldton,AU,-28.7667,114.6,64.81,63,90,14.97,overcast clouds
142,Kiunga,PG,-6.1219,141.2906,85.32,70,83,1.23,broken clouds
143,Inirida,CO,3.8653,-67.9239,75.76,91,92,2.3,overcast clouds
144,Gornopravdinsk,RU,60.05,69.9,44.33,73,97,5.82,overcast clouds
145,Bagn,NO,60.8225,9.5521,44.08,100,100,1.97,overcast clouds
146,Kanker,IN,20.2719,81.4931,70.11,96,71,0.34,broken clouds
147,Myitkyina,MM,25.3833,97.4,71.58,100,97,0.27,overcast clouds
148,Cordoba,AR,-31.4135,-64.1811,73.76,27,0,4.0,clear sky
149,Karratha,AU,-20.7377,116.8463,71.44,39,81,14.79,broken clouds
150,Ladnun,IN,27.65,74.3833,75.06,33,0,4.16,clear sky
151,Klaksvik,FO,62.2266,-6.589,45.52,96,100,34.11,overcast clouds
152,Krasnoselkup,RU,65.7,82.4667,40.89,90,100,22.21,light rain
153,Dosso,NE,13.049,3.1937,83.95,52,40,8.37,scattered clouds
154,Obera,AR,-27.4871,-55.1199,56.12,79,0,3.33,clear sky
155,Miyako,JP,39.6367,141.9525,59.4,80,100,7.49,overcast clouds
156,Shelburne,CA,44.0787,-80.2041,59.56,64,31,14.2,scattered clouds
157,Fare,PF,-16.7,-151.0167,79.83,76,93,10.18,overcast clouds
158,Boddam,GB,57.4667,-1.7833,59.09,87,36,19.95,scattered clouds
159,Banes,CU,20.9625,-75.7186,81.21,77,52,6.85,broken clouds
160,Ancud,CL,-41.8697,-73.8203,62.13,97,30,2.06,scattered clouds
161,Ammon,US,43.4696,-111.9666,61.3,62,1,3.0,clear sky
162,Constitucion,CL,-35.3333,-72.4167,53.11,87,12,1.5,few clouds
163,Clermont,FR,49.5,2.4167,62.31,73,56,10.65,broken clouds
164,Mosquera,CO,4.7059,-74.2302,59.09,67,40,6.91,light rain
165,Moshupa,BW,-24.7782,25.4155,54.0,75,0,10.0,clear sky
166,Port Keats,AU,-14.25,129.55,90.32,52,37,10.27,scattered clouds
167,Oderzo,IT,45.7882,12.5019,56.08,88,55,3.94,broken clouds
168,Umm Kaddadah,SD,13.6017,26.6876,84.69,16,22,17.38,few clouds
169,Kalabo,ZM,-14.97,22.6814,71.87,62,74,5.66,light rain
170,Chokurdakh,RU,70.6333,147.9167,-7.58,94,98,6.02,overcast clouds
171,Fortuna,US,40.5982,-124.1573,63.52,36,75,20.71,broken clouds
172,Puerto Ayora,EC,-0.7393,-90.3518,70.79,85,63,13.0,broken clouds
173,Alofi,NU,-19.0595,-169.9187,80.49,57,33,14.97,scattered clouds
174,Domoni,KM,-12.2569,44.5319,75.04,83,90,3.83,overcast clouds
175,Nikolayevka,RU,53.1257,47.2041,31.57,93,16,6.51,few clouds
176,Lasa,IT,46.6166,10.7002,58.46,82,65,2.13,broken clouds
177,Mabaruma,GY,8.2,-59.7833,73.81,92,27,3.27,scattered clouds
178,Khani,GE,41.9563,42.9566,47.77,99,100,4.38,overcast clouds
179,Bristol,US,41.8334,-71.1662,58.48,67,1,5.75,clear sky
180,Clarence Town,AU,-32.5833,151.7833,68.34,48,88,4.74,overcast clouds
181,Kholodnyy,RU,62.7167,147.95,-9.4,90,21,0.69,few clouds
182,Conceicao Do Araguaia,BR,-8.2578,-49.2647,80.94,60,87,3.27,overcast clouds
183,Sola,VU,-13.8833,167.55,80.22,78,100,8.95,overcast clouds
184,Iqaluit,CA,63.7506,-68.5145,35.33,87,75,11.01,broken clouds
185,Saint-Leu,RE,-21.15,55.2833,70.66,83,79,4.54,broken clouds
186,Lensk,RU,60.7253,114.9278,34.61,92,100,13.42,light rain
187,Sur,OM,22.5667,59.5289,81.23,49,74,8.39,broken clouds
188,Zhezkazgan,KZ,47.8043,67.7144,46.35,43,99,7.27,overcast clouds
189,Clarksburg,US,39.2807,-80.3445,65.08,60,1,4.61,clear sky
190,Dingle,PH,10.9995,122.6711,80.62,85,100,3.24,light rain
191,Shaoguan,CN,24.8,113.5833,70.14,71,62,0.74,broken clouds
192,Chickasha,US,35.0526,-97.9364,77.68,53,1,16.11,clear sky
193,Oxbow,CA,49.2333,-102.1676,42.75,64,53,11.79,broken clouds
194,Bandarbeyla,SO,9.4942,50.8122,76.87,87,86,7.11,overcast clouds
195,Narsaq,GL,60.9167,-46.05,35.82,40,0,7.65,clear sky
196,Norman Wells,CA,65.282,-126.8329,23.04,93,90,4.61,overcast clouds
197,Kamaishi,JP,39.2667,141.8833,52.75,78,100,9.08,overcast clouds
198,Kolondieba,ML,11.0882,-6.8926,74.91,85,76,3.62,broken clouds
199,Coquimbo,CL,-29.9533,-71.3436,56.93,82,75,6.91,broken clouds
200,Chicama,PE,-7.8447,-79.1469,59.54,76,61,6.04,light rain
201,Georgetown,MY,5.4112,100.3354,77.9,93,20,0.0,few clouds
202,Zhicheng,CN,30.2956,111.5047,53.38,95,100,9.95,light rain
203,San Patricio,US,28.017,-97.5169,82.81,70,97,10.96,overcast clouds
204,Bandarban,BD,22.1965,92.2262,72.5,98,87,2.44,overcast clouds
205,Teguise,ES,29.0605,-13.564,68.22,83,20,13.8,few clouds
206,Tailai,CN,46.3833,123.4,36.61,56,0,8.19,clear sky
207,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,100,20,11.5,few clouds
208,Dauriya,RU,49.9333,116.8667,21.78,90,26,1.54,scattered clouds
209,Greymouth,NZ,-42.4667,171.2,59.29,61,47,6.08,scattered clouds
210,Hasaki,JP,35.7333,140.8333,59.4,74,13,12.19,few clouds
211,Barrow,US,71.2906,-156.7887,24.82,74,90,29.93,overcast clouds
212,Mount Gambier,AU,-37.8333,140.7667,58.91,67,100,13.8,overcast clouds
213,Asau,RO,46.4333,26.4,46.76,80,45,5.77,light rain
214,Sorong,ID,-0.8833,131.25,79.02,84,100,6.51,overcast clouds
215,Scarborough,GB,54.2797,-0.4044,62.53,85,100,1.01,overcast clouds
216,Komsomolskiy,UZ,40.4272,71.7189,54.82,50,93,6.91,overcast clouds
217,Tres Arroyos,AR,-38.3739,-60.2798,57.06,64,2,9.93,clear sky
218,Suez,EG,29.9737,32.5263,67.5,72,84,8.14,broken clouds
219,Lysva,RU,58.1086,57.8053,31.23,86,89,2.21,overcast clouds
220,Kerikeri,NZ,-35.2268,173.9474,67.91,69,79,8.99,broken clouds
221,Torbay,CA,47.6666,-52.7314,50.77,87,75,3.44,broken clouds
222,Port Elizabeth,ZA,-33.918,25.5701,60.1,82,0,6.91,clear sky
223,Patterson,US,37.4716,-121.1297,72.01,36,84,8.12,broken clouds
224,Kaili,ID,-3.4626,120.2147,75.29,75,94,1.86,overcast clouds
225,Touros,BR,-5.1989,-35.4608,79.7,80,49,14.41,scattered clouds
226,Ruma,RS,45.0081,19.8222,46.22,72,98,3.89,overcast clouds
227,Barabinsk,RU,55.3571,78.357,38.93,73,56,8.1,broken clouds
228,Conceicao Da Barra,BR,-18.5933,-39.7322,73.02,94,100,6.22,moderate rain
229,Lompoc,US,34.6391,-120.4579,68.77,70,20,4.0,few clouds
230,Camana,PE,-16.6228,-72.7111,64.49,81,76,4.97,broken clouds
231,Chelno-Vershiny,RU,54.4333,51.1,32.25,78,56,5.37,broken clouds
232,Ponta Do Sol,PT,32.6667,-17.1,78.71,66,98,2.62,overcast clouds
233,Lata,PT,40.1629,-8.3327,65.8,77,100,1.86,overcast clouds
234,Venice,US,27.0998,-82.4543,80.64,61,22,1.01,few clouds
235,Half Moon Bay,US,37.4636,-122.4286,71.92,46,75,6.91,broken clouds
236,Kodiak,US,57.79,-152.4072,47.71,66,75,8.05,broken clouds
237,Beitbridge,ZW,-22.2167,30.0,58.51,67,100,11.54,overcast clouds
238,Hualmay,PE,-11.0964,-77.6139,64.67,82,45,8.21,scattered clouds
239,Shingu,JP,33.7333,135.9833,59.99,54,69,8.77,broken clouds
240,Sinazongwe,ZM,-17.2614,27.4618,74.17,68,90,4.72,overcast clouds
241,Chanute,US,37.6792,-95.4572,73.51,49,1,16.11,clear sky
242,Cody,US,44.5263,-109.0565,41.29,90,90,6.91,overcast clouds
243,Tokur,RU,53.1333,132.9,18.25,87,93,2.01,overcast clouds
244,Kununurra,AU,-15.7667,128.7333,85.98,66,24,1.14,few clouds
245,Mount Isa,AU,-20.7333,139.5,91.17,15,11,17.27,few clouds
246,Manmad,IN,20.25,74.45,67.24,59,5,2.26,clear sky
247,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,76.05,87,46,2.68,scattered clouds
248,Hovd,MN,48.0056,91.6419,31.3,60,0,0.72,clear sky
249,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,88,85,8.05,overcast clouds
250,Ciudad Bolivar,VE,8.1222,-63.5497,84.11,65,98,8.28,overcast clouds
251,Reserva,BR,-24.6503,-50.8506,53.4,97,100,5.12,overcast clouds
252,Nyurba,RU,63.2842,118.3319,33.66,97,100,10.58,overcast clouds
253,Evensk,RU,61.95,159.2333,14.5,64,100,7.72,overcast clouds
254,Port Lincoln,AU,-34.7333,135.8667,67.46,53,100,25.93,overcast clouds
255,Maceio,BR,-9.6658,-35.7353,78.24,94,40,3.44,scattered clouds
256,Pangnirtung,CA,66.1451,-65.7125,35.13,68,100,2.51,overcast clouds
257,Batamshinskiy,KZ,50.5594,58.2747,40.98,88,100,13.15,overcast clouds
258,Sorland,NO,67.667,12.6934,37.13,92,100,25.32,light rain
259,Banjar,ID,-8.19,114.9675,80.46,75,95,6.06,overcast clouds
260,Handan,CN,36.6006,114.4678,49.59,69,99,3.36,light rain
261,Kahului,US,20.8947,-156.47,84.22,63,20,21.85,few clouds
262,Djibo,BF,14.1022,-1.6306,84.61,52,45,8.88,scattered clouds
263,Parrita,CR,9.5201,-84.3225,81.99,84,98,0.81,overcast clouds
264,Avarua,CK,-21.2078,-159.775,77.05,61,20,6.91,few clouds
265,Ler,SS,8.3018,30.1418,75.0,76,93,3.33,overcast clouds
266,Lixourion,GR,38.2019,20.4314,64.94,71,1,1.52,clear sky
267,Mpika,ZM,-11.8343,31.4529,61.2,81,78,5.82,broken clouds
268,Broome,US,42.2506,-75.833,59.38,54,1,1.01,clear sky
269,Barranco,PA,9.5167,-82.7,82.15,89,100,1.32,overcast clouds
270,Pustoshka,RU,56.3355,29.369,32.02,78,99,5.23,overcast clouds
271,Deputatskiy,RU,69.3,139.9,-7.64,87,85,2.75,overcast clouds
272,Cayenne,GF,4.9333,-52.3333,83.08,80,75,4.0,broken clouds
273,Astoria,US,46.1879,-123.8313,60.85,70,1,1.99,clear sky
274,Kirakira,SB,-10.4544,161.9205,83.97,75,100,8.77,overcast clouds
275,Nador,MA,35.174,-2.9287,66.45,88,20,1.14,few clouds
276,Bilibino,RU,68.0546,166.4372,4.73,94,100,3.02,overcast clouds
277,Rocha,UY,-34.4833,-54.3333,51.51,90,8,6.58,clear sky
278,Tagbac,PH,7.089,125.1567,73.72,79,94,0.25,overcast clouds
279,Katangli,RU,51.7102,143.2326,29.21,66,6,5.61,clear sky
280,Ballina,AU,-28.8667,153.5667,72.79,71,75,6.91,broken clouds
281,Yar-Sale,RU,66.8333,70.8333,35.17,95,100,19.89,overcast clouds
282,Vista Hermosa,MX,19.5167,-99.2167,72.79,23,75,8.05,broken clouds
283,Abonnema,NG,4.7084,6.7931,73.69,95,98,2.21,overcast clouds
284,Sao Joao Do Paraiso,BR,-15.3136,-42.0144,71.44,80,99,3.71,overcast clouds
285,Wanning,CN,18.8003,110.3967,79.12,89,97,2.44,light rain
286,Kalmunai,LK,7.4167,81.8167,79.5,81,95,2.91,overcast clouds
287,Bure,ET,10.7,37.0667,52.05,78,21,4.18,few clouds
288,Pangody,RU,65.85,74.4859,39.43,84,100,20.78,overcast clouds
289,Shimoda,JP,34.6667,138.95,66.56,61,18,16.4,few clouds
290,Vestmannaeyjar,IS,63.4427,-20.2734,37.49,58,15,18.19,few clouds
291,Harper,LR,4.375,-7.7169,77.56,88,63,6.6,light rain
292,Akyab,MM,20.15,92.9,79.03,86,46,9.75,scattered clouds
293,Isiro,CD,2.7739,27.616,65.23,98,100,2.04,overcast clouds
294,Sept-Iles,CA,50.2001,-66.3821,48.72,96,90,5.99,light intensity drizzle
295,Havoysund,NO,70.9963,24.6622,25.68,73,90,8.37,light snow
296,Avera,US,33.194,-82.5271,66.7,42,4,2.95,clear sky
297,Najran,SA,17.4924,44.1277,66.85,27,38,2.13,scattered clouds
298,Saint-Augustin,CA,51.226,-58.6502,43.59,96,100,13.18,overcast clouds
299,Houma,US,29.5958,-90.7195,77.0,80,58,8.7,broken clouds
300,Mokhotlong,LS,-29.2894,29.0675,44.92,57,7,1.68,clear sky
301,Takoradi,GH,4.8845,-1.7554,77.14,89,99,6.44,light rain
302,Vao,NC,-22.6667,167.4833,73.87,84,100,5.93,light rain
303,Cumana,VE,10.4635,-64.1775,93.29,82,92,8.28,overcast clouds
304,Montepuez,MZ,-13.1256,38.9997,67.1,88,1,4.18,clear sky
305,Salair,RU,54.2312,85.7972,36.23,67,12,2.84,few clouds
306,Ciocanesti,RO,44.6,25.85,50.7,80,48,4.45,scattered clouds
307,Dezhou,CN,37.4486,116.2925,47.46,60,100,4.14,overcast clouds
308,Bushehr,IR,28.9684,50.8385,81.93,46,0,16.75,clear sky
309,Aksarka,RU,66.5606,67.7975,32.32,99,100,7.25,light snow
310,Kurchum,KZ,48.5722,83.6542,43.68,38,0,3.47,clear sky
311,Gardez,AF,33.5974,69.2259,43.84,21,0,1.63,clear sky
312,Bouar,CF,5.934,15.596,65.66,95,100,2.01,light rain
313,Bilma,NE,18.6853,12.9164,82.87,15,1,8.21,clear sky
314,Burgeo,CA,47.6167,-57.6152,50.49,89,19,3.74,few clouds
315,Eureka,US,40.8021,-124.1637,63.79,48,100,16.33,overcast clouds
316,Zhanaozen,KZ,43.3,52.8,54.34,65,100,19.75,overcast clouds
317,Santa Maria,BR,-29.6842,-53.8069,61.9,72,0,3.44,clear sky
318,Seguela,CI,7.9611,-6.6731,72.21,94,99,4.79,light rain
319,Mackay,AU,-21.15,149.2,85.68,69,75,10.36,broken clouds
320,Faya,SA,18.3851,42.4509,60.91,30,42,5.59,scattered clouds
321,Winnemucca,US,40.973,-117.7357,57.25,51,1,4.61,clear sky
322,Saldanha,ZA,-33.0117,17.9442,60.85,60,0,8.41,clear sky
323,Nur,PL,52.6683,22.3221,47.23,83,99,10.83,overcast clouds
324,Lima,PE,-12.0432,-77.0282,66.9,76,75,8.05,broken clouds
325,Wick,GB,58.4333,-3.0833,56.66,94,79,9.22,broken clouds
326,Sarankhola,BD,22.3082,89.7897,76.68,96,100,4.25,overcast clouds
327,Poso,ID,-1.3959,120.7524,83.75,65,51,1.72,broken clouds
328,Verkhnetulomskiy,RU,68.6073,31.7962,19.53,87,59,2.77,broken clouds
329,Suntar,RU,62.1444,117.6319,33.87,96,100,11.27,overcast clouds
330,Nuuk,GL,64.1835,-51.7216,38.01,41,10,4.61,clear sky
331,Axim,GH,4.8699,-2.2405,77.86,87,100,6.31,light rain
332,Flinders,AU,-34.5833,150.8552,67.21,76,25,7.0,light rain
333,Victoria,HK,22.2855,114.1577,80.65,82,99,1.01,overcast clouds
334,Mazyr,BY,52.0495,29.2456,34.7,77,61,6.04,broken clouds
335,Januaria,BR,-15.4833,-44.3667,75.45,77,99,1.66,light rain
336,Araouane,ML,18.9048,-3.5265,81.36,15,24,17.92,few clouds
337,Road Town,VG,18.4167,-64.6167,83.19,83,20,3.44,few clouds
338,Bathsheba,BB,13.2167,-59.5167,83.01,69,20,16.11,few clouds
339,Baykit,RU,61.67,96.37,36.48,99,100,4.03,light rain
340,Toora-Khem,RU,52.4675,96.11,23.18,88,33,2.24,scattered clouds
341,Burnie,AU,-41.0667,145.9167,57.94,54,6,15.75,clear sky
342,Saint-Pierre,RE,-21.3393,55.4781,71.28,72,0,8.05,clear sky
343,Praia,CV,14.9215,-23.5087,81.14,61,20,17.27,few clouds
344,Rumoi,JP,43.9344,141.6428,42.26,96,100,15.37,moderate rain
345,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,75,0,2.75,clear sky
346,Yamada,JP,39.4667,141.95,59.09,81,100,7.78,overcast clouds
347,Kralendijk,BQ,12.15,-68.2667,84.18,70,71,12.66,broken clouds
348,Verkhnyaya Sinyachikha,RU,57.976,61.6673,37.36,73,100,5.26,overcast clouds
349,Gloversville,US,43.0528,-74.3438,58.17,59,1,12.66,clear sky
