City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
82,Kupang,ID,81.18,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
83,Biak,ID,81.41,broken clouds,-0.9131,122.8766,Penginapan Kim
84,Palaikastron,GR,64.74,clear sky,35.2,26.25,Marina Village
86,Pisco,PE,62.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
87,Bethel,US,62.96,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
89,Poum,NC,76.3,overcast clouds,-20.2333,164.0167,Gîte kajeon
91,Cidreira,BR,61.84,clear sky,-30.1811,-50.2056,Hotel Castelo
92,Naze,JP,70.72,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
93,Isangel,VU,79.72,overcast clouds,-19.55,169.2667,Tanna Lodge
94,Saint-Philippe,RE,71.19,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
95,Meridian,US,65.98,clear sky,43.6121,-116.3915,Courtyard by Marriott Boise West/Meridian
96,Alta Floresta,BR,74.7,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
98,Iquique,CL,60.84,few clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
100,Belmonte,BR,79.3,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
101,Kaka,TM,63.01,overcast clouds,37.3482,59.6143,
103,Batemans Bay,AU,61.99,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
105,Hamilton,US,64.09,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
106,Carpina,BR,78.55,overcast clouds,-7.8508,-35.2547,Vila do Carpinteiro Pousada
108,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
109,Kaitangata,NZ,52.93,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
110,Goderich,CA,61.92,scattered clouds,43.7501,-81.7165,Harmony Inn
111,Shache,CN,50.99,broken clouds,38.4167,77.2406,Delong Hotel
112,Kabare,CD,63.03,light rain,-2.4683,28.8242,Hôtel Panorama
114,Codrington,AU,60.55,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
119,Alexandria,EG,70.34,scattered clouds,31.2156,29.9553,Royal Crown Hotel
120,Rawson,AR,64.08,clear sky,-43.3002,-65.1023,Hosteria Sampedro
121,Lebu,CL,51.98,clear sky,-37.6167,-73.65,Hostal Las Lilas
123,Omboue,GA,75.29,overcast clouds,-1.5746,9.2618,Hotel Olako
128,Cairo,EG,72.36,clear sky,30.0626,31.2497,Grand Hotel
129,Post Falls,US,69.85,clear sky,47.718,-116.9516,Red Lion Hotel Templin's on the River
130,Port Alfred,ZA,58.93,clear sky,-33.5906,26.891,The Halyards Hotel
131,Hobart,AU,57.25,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
132,La Asuncion,VE,92.93,broken clouds,11.0333,-63.8628,Colinas de Matasiete
133,Lorengau,PG,85.93,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
134,Kangaba,ML,76.35,light rain,11.9333,-8.4167,Hôtel Mandé
136,Butaritari,KI,82.67,clear sky,3.0707,172.7902,Isles Sunset Lodge
138,Mareeba,AU,86.32,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
139,Aberdeen,GB,59.2,scattered clouds,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
140,Lumphat,KH,75.22,broken clouds,13.4878,106.9816,Lumphat Homestay
141,Geraldton,AU,64.81,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
142,Kiunga,PG,85.32,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
143,Inirida,CO,75.76,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
146,Kanker,IN,70.11,broken clouds,20.2719,81.4931,STARiHOTEL Kanker
147,Myitkyina,MM,71.58,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
148,Cordoba,AR,73.76,clear sky,-31.4135,-64.1811,Hotel Sussex
149,Karratha,AU,71.44,broken clouds,-20.7377,116.8463,ibis Styles Karratha
150,Ladnun,IN,75.06,clear sky,27.65,74.3833,Varsha Sanjay Sadan
153,Dosso,NE,83.95,scattered clouds,13.049,3.1937,Hotel Toubal
154,Obera,AR,56.12,clear sky,-27.4871,-55.1199,CABAÑAS DORALIA
155,Miyako,JP,59.4,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
156,Shelburne,CA,59.56,scattered clouds,44.0787,-80.2041,The Retreat at the Farm
157,Fare,PF,79.83,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
158,Boddam,GB,59.09,scattered clouds,57.4667,-1.7833,Palace Hotel
159,Banes,CU,81.21,broken clouds,20.9625,-75.7186,Hostal Iván y yailet
160,Ancud,CL,62.13,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
161,Ammon,US,61.3,clear sky,43.4696,-111.9666,"Holiday Inn Express & Suites Idaho Falls, an IHG Hotel"
162,Constitucion,CL,53.11,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
163,Clermont,FR,62.31,broken clouds,49.5,2.4167,"gîte et chambres d'hôtes"" Le Manoir Enchanté"" de Mme Doumayrou"
164,Mosquera,CO,59.09,light rain,4.7059,-74.2302,Hotel SJ
165,Moshupa,BW,54.0,clear sky,-24.7782,25.4155,Sim's Bed & Breakfast
166,Port Keats,AU,90.32,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
167,Oderzo,IT,56.08,broken clouds,45.7882,12.5019,Villa Foscarini Cornaro
168,Umm Kaddadah,SD,84.69,few clouds,13.6017,26.6876,
169,Kalabo,ZM,71.87,light rain,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
171,Fortuna,US,63.52,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
172,Puerto Ayora,EC,70.79,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
173,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
174,Domoni,KM,75.04,overcast clouds,-12.2569,44.5319,Al Djadid
176,Lasa,IT,58.46,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
177,Mabaruma,GY,73.81,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
179,Bristol,US,58.48,clear sky,41.8334,-71.1662,
180,Clarence Town,AU,68.34,overcast clouds,-32.5833,151.7833,River Downs Cottage
182,Conceicao Do Araguaia,BR,80.94,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
183,Sola,VU,80.22,overcast clouds,-13.8833,167.55,Leumerus Bungalows
185,Saint-Leu,RE,70.66,broken clouds,-21.15,55.2833,La Caz Oceane
187,Sur,OM,81.23,broken clouds,22.5667,59.5289,Sur Plaza Hotel
189,Clarksburg,US,65.08,clear sky,39.2807,-80.3445,Greenbrier Motel & Restaurant
190,Dingle,PH,80.62,light rain,10.9995,122.6711,SEGAYA PROPERTY
191,Shaoguan,CN,70.14,broken clouds,24.8,113.5833,Shangcheng Hotel
192,Chickasha,US,77.68,clear sky,35.0526,-97.9364,"Holiday Inn Express & Suites Chickasha, an IHG Hotel"
194,Bandarbeyla,SO,76.87,overcast clouds,9.4942,50.8122,JABIR HOTEL
